2024-04-05 12:35:15,475 - INFO - Loading Traffic dataset.
2024-04-05 12:35:15,476 - INFO - Splitting the dataset in train and valid loader.
2024-04-05 12:35:15,749 - INFO - Starting the training of normal model.
2024-04-05 12:35:45,030 - INFO - Epoch 1/50, Loss: 3.9703
2024-04-05 12:35:49,615 - INFO - Epoch [1/50], Validation Accuracy: 28.3%
2024-04-05 12:36:18,332 - INFO - Epoch 2/50, Loss: 2.7823
2024-04-05 12:36:22,795 - INFO - Epoch [2/50], Validation Accuracy: 39.45%
2024-04-05 12:36:51,477 - INFO - Epoch 3/50, Loss: 2.3905
2024-04-05 12:36:55,944 - INFO - Epoch [3/50], Validation Accuracy: 46.64%
2024-04-05 12:37:24,916 - INFO - Epoch 4/50, Loss: 2.1485
2024-04-05 12:37:29,432 - INFO - Epoch [4/50], Validation Accuracy: 44.72%
2024-04-05 12:37:58,268 - INFO - Epoch 5/50, Loss: 1.9666
2024-04-05 12:38:02,831 - INFO - Epoch [5/50], Validation Accuracy: 51.56%
2024-04-05 12:38:31,644 - INFO - Epoch 6/50, Loss: 1.8349
2024-04-05 12:38:36,107 - INFO - Epoch [6/50], Validation Accuracy: 57.79%
2024-04-05 12:39:05,016 - INFO - Epoch 7/50, Loss: 1.7252
2024-04-05 12:39:09,499 - INFO - Epoch [7/50], Validation Accuracy: 59.11%
2024-04-05 12:39:38,329 - INFO - Epoch 8/50, Loss: 1.6319
2024-04-05 12:39:42,806 - INFO - Epoch [8/50], Validation Accuracy: 61.39%
2024-04-05 12:40:11,684 - INFO - Epoch 9/50, Loss: 1.5362
2024-04-05 12:40:16,155 - INFO - Epoch [9/50], Validation Accuracy: 63.31%
2024-04-05 12:40:45,256 - INFO - Epoch 10/50, Loss: 1.4170
2024-04-05 12:40:49,748 - INFO - Epoch [10/50], Validation Accuracy: 67.27%
2024-04-05 12:41:18,566 - INFO - Epoch 11/50, Loss: 1.3532
2024-04-05 12:41:23,046 - INFO - Epoch [11/50], Validation Accuracy: 68.35%
2024-04-05 12:41:51,823 - INFO - Epoch 12/50, Loss: 1.2877
2024-04-05 12:41:56,331 - INFO - Epoch [12/50], Validation Accuracy: 71.1%
2024-04-05 12:42:25,342 - INFO - Epoch 13/50, Loss: 1.2175
2024-04-05 12:42:29,809 - INFO - Epoch [13/50], Validation Accuracy: 74.1%
2024-04-05 12:42:58,655 - INFO - Epoch 14/50, Loss: 1.1486
2024-04-05 12:43:03,125 - INFO - Epoch [14/50], Validation Accuracy: 69.42%
2024-04-05 12:43:32,046 - INFO - Epoch 15/50, Loss: 1.0840
